Character Name,Character Notes,Character Set,Player or Boss,Class Name,Class Notes 1,Class Notes 2,FE6 Hex Address,FE7 Hex Address,FE8 Hex Address,Palette Hex
Robin,Female,FE13: Awakening,Player,Tactician2,,Custom,B3,B3,B3,5553FF6B5F43182A91259041C8206410DF633A4BFB3E352A564AD1392B25A514
Robin,Female,FE13: Awakening,Player,RedMage2,,Custom,B2,B2,B2,5553291D6410C820323E3A5F9041D139D85A1432DD364308567BFF6BFF7F0000
Robin,Female,FE13: Awakening,Player,Mage_F,Female,FE6 ver.,19,,,5553FF7FFF6B1F4B2E19DE77D85AD1395D3FB7326C1958629041C8206410A514
Robin,Female,FE13: Awakening,Player,Mage_F,Female,FE7/8 ver.,,21,26,007EFF7FFF6B1F4B2E19DE77D85AD1393A5F323E291D392A9041C8206410A514
Robin,Female,FE13: Awakening,Player,Sage_F,Female,FE6 ver.,1B,,,5553FF7FFF6BBE462E19DE77D85AD1395D3FB7326C1958629041C8206410A514
Robin,Female,FE13: Awakening,Player,Sage_F,Female,FE7/8 ver.,,23,28,5553FF7FFF6B1F4B2E19DE77D85AD1393A5F323E291DBE6F9041C8206410A514
Robin,Female,FE13: Awakening,Player,MageKnight_F,Female,,,,2A,007EFF7FDF57DD3A162E4E1DDE77D1393A5F323E9041641058622C31C820A514
Robin,Male,FE13: Awakening,Player,Tactician2,,Custom,B3,B3,B3,5553FF6B5F43182A91259041C8206410DF633A4BFB3E352A564AD1392B25A514
Robin,Male,FE13: Awakening,Player,RedMage2,,Custom,B2,B2,B2,5553291D6410C820323E3A5F9041D139D85A1432DD364308567BFF6BFF7F0000
Robin,Male,FE13: Awakening,Player,Mage,Male,FE6 ver.,18,,,5553FF7FFF6B1F4B2E193836D85AD1393A5F323E291D58629041C8206410A514
Robin,Male,FE13: Awakening,Player,Mage,Male,FE7/8 ver.,,20,25,007EFF7FFF6B1F4B2E197256D85AD1393A5F323E291D9C779041C8206410A514
Robin,Male,FE13: Awakening,Player,Sage,Male,,1A,22,27,007EFF7FFF6B1F4B2E19DE77D85AD1393A5F323E291D58629041C8206410A514
