INLINE gCharacterDataFE10_Bosses,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Zawana,ZawanaName,ZawanaDesc,0x01,Brigand,ZawanaMug,0x00,EarthAffinity,0x01,5,4,1,3,2,3,0,0,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,90,60,30,50,40,20,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebac,0x7,0x0,0x0,0x0
Ikanau,IkanauName,IkanauDesc,0x02,Brigand,IkanauMug,0x00,FireAffinity,0x0F,7,6,3,1,2,2,0,1,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,90,60,30,50,40,20,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebdc,0x3,0x0,0x0,0x0
Havetti,HavettiName,HavettiDesc,0x03,Pirate,HavettiMug,0x00,ThunderAffinity,0x2E,9,8,5,3,2,4,0,0,1,0x00,0x00,DRank,0x00,0x00,0x00,0x00,0x00,90,60,35,55,40,20,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec0c,0x4,0x0,0x0,0x0
Maijin,MaijinName,MaijinDesc,0x04,Knight,MaijinMug,0x00,FireAffinity,0x1D,10,12,5,5,6,2,1,2,0,0x00,CRank,0x00,0x00,0x00,0x00,0x00,0x00,75,50,45,30,60,45,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebf4,0x3,0x0,0x0,0x0
Dakova,DakovaName,DakovaDesc,0x05,Knight,DakovaMug,0x00,WindAffinity,0x13,13,10,5,6,5,0,0,0,0,0x00,CRank,0x00,0x00,0x00,0x00,0x00,0x00,75,50,45,30,60,45,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec24,0x4,0x0,0x0,0x0
Emil,EmilName,EmilDesc,0x06,Halberdier,EmilMug,0x00,WaterAffinity,0x34,2,8,2,7,6,3,2,2,0,0x00,BRank,0x00,0x00,0x00,0x00,0x00,0x00,75,45,45,40,45,40,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec3c,0xa,0x0,0x0,0x0
Balmer,BalmerName,BalmerDesc,0x07,Sage,BalmerMug,0x00,DarkAffinity,0x19,1,7,4,6,5,2,8,5,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,65,45,45,35,50,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec6c,0x5,0x0,0x0,0x0
Kamura,KamuraName,KamuraDesc,0x08,Knight,KamuraMug,0x00,HeavenAffinity,0x06,18,15,8,6,6,4,8,8,0,0x00,BRank,0x00,0x00,0x00,0x00,0x00,0x00,80,50,45,30,65,45,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec9c,0x7,0x0,0x0,0x0
Nedata,NedataName,NedataDesc,0x09,Pirate,NedataMug,0x00,ThunderAffinity,0x1B,18,15,8,5,7,5,2,0,-1,0x00,0x00,DRank,0x00,0x00,0x00,0x00,0x00,90,60,30,50,40,20,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec84,0x0,0x0,0x0,0x0
Kotaff,KotaffName,KotaffDesc,0x0A,Halberdier,KotaffMug,0x00,FireAffinity,0x31,3,13,8,7,7,6,4,7,-1,0x00,ARank,0x00,0x00,0x00,0x00,0x00,0x00,75,45,45,40,45,40,25,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec54,0x1,0x0,0x0,0x0
