INLINE gCharacterDataFE6,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Roy,RoyName,RoyDesc,0x01,Mercenary,RoyMug,0x00,0x01,0x01,0x01,0x00,0x02,0x02,0x03,0x00,0x00,0x07,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x50,0x28,0x32,0x28,0x19,0x1E,0x3C,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebac,0x7,0x0,0x0,0x0
Clarine,ClarineName,ClarineDesc,0x02,Troubadour,ClarineMug,0x00,0x02,0x0F,0x01,0x00,0x01,0x04,0x06,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x28,0x1E,0x28,0x32,0x0A,0x28,0x41,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
Fae,FaeName,FaeDesc,0x03,Mamkute_F,FaeMug,0x00,0x06,0x2E,0x01,0x04,0x02,0x02,0x01,0x01,0x05,0x07,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x82,0x5A,0x55,0x41,0x1E,0x32,0x96,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec0c,0x4,0x0,0x0,0x0
Sin ,SinName,SinDesc,0x04,Nomad,SinMug,0x00,0x04,0x1D,0x05,0x08,0x02,0x04,0x05,0x03,0x00,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x4B,0x2D,0x32,0x32,0x0A,0x0F,0x19,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
Sue,SueName,SueDesc,0x05,Nomad_F,SueMug,0x00,0x03,0x13,0x01,0x03,0x01,0x02,0x02,0x02,0x00,0x04,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x37,0x1E,0x37,0x41,0x0A,0x0F,0x32,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
Dayan,DayanName,DayanDesc,0x06,NomadTrooper,DayanMug,0x00,0x07,0x34,0x0E,0x16,0x07,0x0A,0x0D,0x04,0x09,0x0C,0x01,0x65,0x00,0x00,0xFB,0x00,0x00,0x00,0x00,0x37,0x14,0x14,0x0F,0x0A,0x0A,0x14,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec3c,0xa,0x0,0x0,0x0
Barthe,BartheName,BartheDesc,0x07,Knight,BartheMug,0x00,0x04,0x19,0x09,0x08,0x05,0x04,0x05,0x05,0x01,0x02,0x03,0x00,0x65,0x00,0x00,0x00,0x00,0x00,0x00,0x64,0x3C,0x19,0x14,0x28,0x02,0x14,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
Bors,BorsName,BorsDesc,0x08,Knight,BorsMug,0x00,0x03,0x06,0x01,0x03,0x02,0x02,0x03,0x02,0x00,0x04,0x01,0x00,0x65,0x00,0x00,0x00,0x00,0x00,0x00,0x5A,0x1E,0x1E,0x28,0x23,0x0A,0x32,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec9c,0x7,0x0,0x0,0x0
Gwendolyn,GwendolynName,GwendolynDesc,0x09,Knight_F,GwendolynMug,0x00,0x01,0x1B,0x01,0x03,0x00,0x00,0x02,0x00,0x00,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x55,0x28,0x28,0x28,0x1E,0x0A,0x2D,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0
Douglas,DouglasName,DouglasDesc,0x0A,General,DouglasMug,0x00,0x02,0x31,0x08,0x19,0x0B,0x09,0x05,0x07,0x02,0x0B,0x02,0x00,0xC9,0xC9,0x00,0x00,0x00,0x00,0x00,0x3C,0x1E,0x1E,0x1E,0x1E,0x05,0x14,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec54,0x1,0x0,0x0,0x0
Wolt,WoltName,WoltDesc,0x0B,Archer,WoltMug,0x00,0x04,0x05,0x01,0x00,0x00,0x01,0x02,0x01,0x00,0x02,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x50,0x28,0x32,0x28,0x14,0x0A,0x28,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed5c,0x0,0x0,0x0,0x0
Dorothy,DorothyName,DorothyDesc,0x0C,Archer_F,DorothyMug,0x00,0x01,0x12,0x03,0x02,0x02,0x03,0x02,0x01,0x02,0x03,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x55,0x32,0x2D,0x2D,0x0F,0x0F,0x23,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeccc,0x7,0x0,0x0,0x0
Klein,KleinName,KleinDesc,0x0D,Sniper,KleinMug,0x00,0x04,0x20,0x01,0x06,0x06,0x07,0x06,0x03,0x04,0x0A,-1,0x00,0x00,0x00,0xC9,0x00,0x00,0x00,0x00,0x3C,0x23,0x28,0x2D,0x0F,0x19,0x32,0x0,0x0,0x0,0x0,0x0,0x0,0x88aece4,0xa,0x0,0x0,0x0
Saul,SaulName,SaulDesc,0x0E,Priest,SaulMug,0x00,0x04,0x11,0x05,0x02,0x03,0x05,0x08,0x01,0x00,0x02,0x01,0x00,0x00,0x00,0x00,0x65,0x00,0x00,0x00,0x3C,0x28,0x2D,0x2D,0x0F,0x32,0x0F,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee1c,0x0,0x0,0x0,0x0
Elen,ElenName,ElenDesc,0x0F,Cleric,ElenMug,0x00,0x03,0x08,0x02,0x00,0x00,0x04,0x06,0x00,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x33,0x00,0x00,0x00,0x2D,0x32,0x1E,0x14,0x05,0x3C,0x46,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebc4,0x3,0x0,0x0,0x0
Yoder,YoderName,YoderDesc,0x10,Bishop,YoderMug,0x00,0x06,0x35,0x11,0x0E,0x0F,0x0E,0x0A,0x02,0x16,0x0B,0x00,0x00,0x00,0x00,0x00,0xFB,0x00,0xC9,0x00,0x14,0x1E,0x0F,0x0A,0x0A,0x14,0x14,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed2c,0x3,0x0,0x0,0x0
Chad,ChadName,ChadDesc,0x11,Thief,ChadMug,0x00,0x02,0x0D,0x01,0x00,0x00,0x02,0x01,0x00,0x00,0x04,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x55,0x32,0x32,0x50,0x19,0x0F,0x3C,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed14,0x3,0x0,0x0,0x0
Karel,KarelName,KarelDesc,0x12,Myrmidon,KarelMug,0x00,0x06,0x36,0x13,0x17,0x0E,0x11,0x0D,0x0A,0x0B,0x12,0x00,0xFB,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xD2,0x82,0x8C,0x8C,0x6E,0x64,0x78,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee34,0x7,0x0,0x0,0x0
