INLINE gCharacterDataFE15,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Alm,AlmName,AlmDesc,0x01,Lord,AlmMug,0x00,EarthAffinity,0x01,1,7,6,4,4,3,2,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,50,55,45,50,3,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebac,0x7,0x0,0x0,0x0
Lukas,LukasName,LukasDesc,0x02,Soldier,LukasMug,0x00,WindAffinity,0x0F,1,5,6,2,2,3,1,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,30,40,25,45,2,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
Gray,GrayName,GrayDesc,0x03,Villager,GrayMug,0x00,WindAffinity,0x2E,1,6,6,2,2,2,1,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,30,30,25,0,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec0c,0x4,0x0,0x0,0x0
Tobin,TobinName,TobinDesc,0x04,Villager,TobinMug,0x00,FireAffinity,0x1D,1,5,4,1,4,2,2,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,30,50,25,30,0,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
Kliff,KliffName,KliffDesc,0x05,Villager,KliffMug,0x00,EarthAffinity,0x13,2,5,4,0,1,2,5,1,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,35,30,45,60,40,0,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
Silque,SilqueName,SilqueDesc,0x06,Cleric,SilqueMug,0x00,LightAffinity,0x34,2,4,5,2,2,0,7,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,35,30,40,2,60,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec3c,0xa,0x0,0x0,0x0
Clair,ClairName,ClairDesc,0x07,PegasusKnight,ClairMug,0x00,WindAffinity,0x19,3,5,5,2,4,2,5,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,35,40,55,70,30,2,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
Clive,CliveName,CliveDesc,0x08,Cavalier,CliveMug,0x00,WaterAffinity,0x06,2,6,8,4,4,4,0,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,40,35,25,30,2,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec9c,0x7,0x0,0x0,0x0
Forsyth,ForsythName,ForsythDesc,0x09,Soldier,ForsythMug,0x00,DarkAffinity,0x1B,1,7,7,2,3,4,3,3,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,40,30,40,30,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0
Python,PythonName,PythonDesc,0x0A,Archer,PythonMug,0x00,FireAffinity,0x31,5,6,6,2,2,3,2,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,40,25,55,25,4,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec54,0x1,0x0,0x0,0x0
