INLINE gCharacterDataFE5_Bosses,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Weissman,WeissmanName,WeissmanDesc,0x01,SwordArmour,WeissmanMug,0x00,NoAffinity,0x01,5,6,2,4,1,3,3,1,1,DRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebac,0x7,0x0,0x0,0x0
Bucks,BucksName,BucksDesc,0x02,Warrior,BucksMug,0x00,NoAffinity,0x0F,4,3,3,1,2,3,2,3,4,NoRank,NoRank,0x00,0x00,0x00,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebdc,0x3,0x0,0x0,0x0
Lobos,LobosName,LobosDesc,0x03,General,LobosMug,0x00,NoAffinity,0x2E,1,0,1,1,2,1,0,3,2,NoRank,NoRank,0x00,DRank,0x00,0x00,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec0c,0x4,0x0,0x0,0x0
Bandole,BandoleName,BandoleDesc,0x04,General,BandoleMug,0x00,NoAffinity,0x1D,5,5,0,5,2,2,2,2,4,DRank,0x00,DRank,DRank,0x00,0x00,0x00,0x00,70,30,30,20,30,5,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aebf4,0x3,0x0,0x0,0x0
Truman,TrumanName,TrumanDesc,0x05,General,TrumanMug,0x00,NoAffinity,0x13,5,7,4,1,3,0,0,2,4,BRank,0x00,NoRank,DRank,0x00,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec24,0x4,0x0,0x0,0x0
Eisenau,EisenauName,EisenauDesc,0x06,Paladin,EisenhowerMug,0x00,NoAffinity,0x34,6,14,7,6,7,4,3,3,7,ARank,ARank,NoRank,0x00,0x00,0x00,0x00,0x00,50,20,15,10,15,3,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec3c,0xa,0x0,0x0,0x0
Rumei,RumeiName,RumeiDesc,0x07,DragonKnight,RumeiMug,0x00,NoAffinity,0x19,5,12,6,2,1,0,1,6,1,CRank,ARank,0x00,NoRank,0x00,0x00,0x00,0x00,50,20,15,10,15,3,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec6c,0x5,0x0,0x0,0x0
Gomez,GomezName,GomezDesc,0x08,Warrior,GomezMug,0x00,NoAffinity,0x06,5,18,10,9,8,6,2,11,9,0x00,0x00,ARank,BRank,0x00,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec9c,0x7,0x0,0x0,0x0
Merlock,MerlockName,MerlockDesc,0x09,DragonKnight,MerlockMug,0x00,NoAffinity,0x1B,6,18,9,8,8,5,2,10,8,ARank,BRank,0x00,NoRank,0x00,0x00,0x00,0x00,50,20,15,10,15,3,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec84,0x0,0x0,0x0,0x0
Dvorak,DvorakName,DvorakDesc,0x0A,DragonKnight,DvorakMug,0x00,NoAffinity,0x31,8,7,3,6,4,5,1,5,3,DRank,BRank,0x00,0x00,0x00,0x00,0x00,0x00,50,20,15,10,15,3,10,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aec54,0x1,0x0,0x0,0x0
Largo,LargoFE5Name,LargoFE5Desc,0x0B,General,LargoFE5Mug,0x00,NoAffinity,0x05,8,18,8,7,7,5,2,18,7,ARank,ARank,DRank,CRank,NoRank,0x00,0x00,0x00,90,30,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aed5c,0x0,0x0,0x0,0x0
Oltoph,OltophName,OltophDesc,0x0C,Bishop,OltophMug,0x00,NoAffinity,0x12,8,10,2,5,4,6,2,5,3,NoRank,0x00,NoRank,0x00,CRank,BRank+32,0x00,0x00,90,3,30,30,20,3,20,0x0,0x0,0x0,0x0,0x0,IsBoss,0x88aeccc,0x7,0x0,0x0,0x0
