INLINE gCharacterDataFE4,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Sigurd,SigurdName,SigurdDesc,0x01,LordKnight,SigurdMug,0x00,NoAffinity,0x01,1,-5,4,4,5,2,0,7,0,ARank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,110,50,50,30,40,5,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebac,0x7,0x0,0x0,0x0
Naoise,NaoiseName,NaoiseDesc,0x02,SocialKnight,NaoiseMug,0x00,NoAffinity,0x0F,3,3,4,1,2,2,0,4,0,DRank,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,40,30,20,40,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
Alec,AlecName,AlecDesc,0x03,SocialKnight,AlecMug,0x00,NoAffinity,0x2E,2,2,2,3,4,1,0,4,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,30,40,30,30,5,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec0c,0x4,0x0,0x0,0x0
Arden,ArdenName,ArdenDesc,0x04,SwordArmour,ArdenMug,0x00,NoAffinity,0x1D,3,-4,4,0,1,3,0,3,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,90,50,10,20,40,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
Quan,QuanName,QuanDesc,0x05,DukeKnight,QuanMug,0x00,NoAffinity,0x13,1,-6,4,3,3,2,0,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,110,50,30,40,50,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
Ethlin,EthlinName,EthlinDesc,0x06,Troubadour,EthlinMug,0x00,NoAffinity,0x34,1,2,5,5,2,2,0,5,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,30,30,30,20,10,20,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aec3c,0xa,0x0,0x0,0x0
Fin,FinName,FinDesc,0x07,LanceKnight,FinMug,0x00,NoAffinity,0x19,1,2,2,2,4,1,0,8,0,0x00,CRank,0x00,0x00,0x00,0x00,0x00,0x00,70,30,40,30,30,5,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
Lex,LexName,LexDesc,0x08,AxeKnight,LexMug,0x00,NoAffinity,0x06,4,3,3,4,5,3,0,8,0,0x00,0x00,1,0x00,0x00,0x00,0x00,0x00,90,40,20,20,50,5,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec9c,0x7,0x0,0x0,0x0
Azel,AzelName,AzelDesc,0x09,Mage,AzelMug,0x00,NoAffinity,0x1B,1,4,3,1,3,1,1,2,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,40,20,50,20,10,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0
Midir,MidirName,MidirDesc,0x0A,ArchKnight,MidirMug,0x00,NoAffinity,0x31,2,2,2,1,3,1,0,3,0,0x00,0x00,0x00,1,0x00,0x00,0x00,0x00,60,30,30,40,30,5,10,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec54,0x1,0x0,0x0,0x0
Edain,EdainName,EdainDesc,0x0B,Cleric,EdainMug,0x00,NoAffinity,0x05,3,2,6,2,3,0,3,11,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,30,20,30,20,5,60,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aed5c,0x0,0x0,0x0,0x0
Dew,DewName,DewDesc,0x0C,Thief,DewMug,0x00,NoAffinity,0x12,1,2,0,3,8,0,0,12,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,40,40,40,40,10,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeccc,0x7,0x0,0x0,0x0
Ayra,AyraName,AyraDesc,0x0D,Swordfighter_F,AyraMug,0x00,NoAffinity,0x20,4,2,4,6,7,2,1,3,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,70,30,60,30,20,5,20,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aece4,0xa,0x0,0x0,0x0
Deirdre,DeirdreName,DeirdreDesc,0x0E,Shaman_F,DeirdreMug,0x00,NoAffinity,0x11,3,-4,6,2,5,0,6,6,0,0x00,0x00,0x00,0x00,BRank,0x00,ARank,0x00,70,70,20,10,10,70,10,0x0,0x0,0x0,0x0,0x0,IsFemale,0x88aee1c,0x0,0x0,0x0,0x0
Jamka,JamkaName,JamkaDesc,0x0F,BowFighter,JamkaMug,0x00,NoAffinity,0x08,6,6,4,4,4,4,0,4,0,0x00,0x00,0x00,CRank,0x00,0x00,0x00,0x00,90,50,10,35,30,5,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebc4,0x3,0x0,0x0,0x0
